epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0195,2.34765,2.903,2.20433,0,0,0,0,nan,nan,nan,0.0703659,0.00329268,0.00329268
2,70.5334,2.23266,2.50678,2.07517,0.01822,0.4144,0.01564,0.00508,2.79049,inf,4.141,0.0403003,0.00656042,0.00656042
3,103.064,2.1132,2.40771,1.98545,0.56114,0.08804,0.05406,0.01627,2.59993,10.2994,2.48544,0.0101687,0.00976215,0.00976215
4,135.899,2.06026,2.30126,1.93159,0.2561,0.19339,0.11115,0.03841,2.35507,8.594,2.35546,0.009703,0.009703,0.009703
5,168.754,1.95864,2.19338,1.83996,0.26022,0.25264,0.16472,0.06218,2.20051,3.89738,2.16551,0.009604,0.009604,0.009604
6,201.497,1.96448,2.16769,1.82719,0.25998,0.21534,0.16608,0.06098,2.35564,3.64624,2.19629,0.009505,0.009505,0.009505
7,233.844,1.96125,2.10374,1.81904,0.28184,0.27368,0.17965,0.06955,2.17336,2.84822,2.06974,0.009406,0.009406,0.009406
8,266.414,1.90577,2.06543,1.77561,0.29475,0.27617,0.17816,0.06918,2.18929,3.36432,2.09026,0.009307,0.009307,0.009307
9,298.669,1.90727,2.04901,1.79504,0.27014,0.23997,0.15739,0.05673,2.25842,3.0536,2.2033,0.009208,0.009208,0.009208
10,330.958,1.88509,2.06378,1.78392,0.33154,0.2766,0.22868,0.08953,2.13327,2.66067,2.08184,0.009109,0.009109,0.009109
11,363.616,1.83668,1.94097,1.73475,0.30404,0.28291,0.20569,0.08004,2.21913,2.48844,2.02563,0.00901,0.00901,0.00901
12,395.899,1.83914,1.95728,1.72583,0.28955,0.26464,0.19597,0.08369,2.17477,2.69603,2.14449,0.008911,0.008911,0.008911
13,428.169,1.81654,1.92816,1.73138,0.39546,0.28343,0.25536,0.10385,2.13611,2.40977,2.02396,0.008812,0.008812,0.008812
14,460.814,1.78266,1.87924,1.69506,0.3767,0.30013,0.26758,0.10995,2.09456,2.35848,2.01763,0.008713,0.008713,0.008713
15,493.326,1.79045,1.86601,1.68807,0.39155,0.29768,0.25521,0.10532,2.11702,2.39274,1.96473,0.008614,0.008614,0.008614
16,525.619,1.76084,1.81863,1.66966,0.35366,0.30476,0.25476,0.11327,2.06928,2.41371,1.98494,0.008515,0.008515,0.008515
17,558.273,1.75792,1.83957,1.68734,0.37472,0.34645,0.29171,0.12177,2.07412,2.21105,1.93158,0.008416,0.008416,0.008416
18,590.789,1.74906,1.82224,1.66979,0.27708,0.295,0.21984,0.0984,2.11348,2.55389,2.0586,0.008317,0.008317,0.008317
19,623.075,1.72001,1.8072,1.65034,0.44349,0.32666,0.30811,0.13847,1.96823,2.16113,1.87964,0.008218,0.008218,0.008218
20,655.549,1.72612,1.81584,1.65258,0.37405,0.30948,0.27117,0.11454,2.03296,2.65961,1.94415,0.008119,0.008119,0.008119
21,687.939,1.75619,1.78403,1.64773,0.43026,0.36515,0.25269,0.11109,1.94128,2.50316,1.84065,0.00802,0.00802,0.00802
22,720.218,1.72797,1.78488,1.65364,0.47854,0.34513,0.31152,0.1322,1.97037,2.2577,1.88889,0.007921,0.007921,0.007921
23,752.62,1.6909,1.74369,1.61554,0.43755,0.31563,0.29737,0.13008,2.02181,2.26496,1.94982,0.007822,0.007822,0.007822
24,784.916,1.70248,1.71712,1.61978,0.46965,0.36657,0.33653,0.14745,1.963,2.09248,1.83754,0.007723,0.007723,0.007723
25,817.388,1.70436,1.76401,1.63114,0.36936,0.35665,0.31148,0.13315,1.96678,2.22661,1.92651,0.007624,0.007624,0.007624
26,849.633,1.68145,1.70523,1.60368,0.40488,0.33348,0.3038,0.14092,1.95758,2.25272,1.86314,0.007525,0.007525,0.007525
27,881.974,1.65919,1.69013,1.59539,0.49716,0.32913,0.32873,0.15151,1.94397,2.13884,1.86307,0.007426,0.007426,0.007426
28,914.445,1.64165,1.6847,1.59671,0.43009,0.33367,0.30421,0.14277,1.99098,2.24229,1.92648,0.007327,0.007327,0.007327
29,946.917,1.64942,1.67729,1.61117,0.52869,0.30476,0.31178,0.14277,1.99854,2.19644,1.92315,0.007228,0.007228,0.007228
30,979.211,1.63278,1.62808,1.58526,0.50168,0.34808,0.36339,0.16838,1.93531,2.08256,1.86348,0.007129,0.007129,0.007129
31,1011.77,1.62734,1.61385,1.57083,0.38324,0.32253,0.2778,0.12889,1.97229,2.29589,1.89264,0.00703,0.00703,0.00703
32,1044.02,1.6246,1.59498,1.5761,0.48471,0.32533,0.32498,0.15424,1.99012,2.20991,1.87604,0.006931,0.006931,0.006931
33,1076.3,1.64854,1.64105,1.58054,0.51953,0.35191,0.35502,0.16785,1.93468,2.08035,1.85399,0.006832,0.006832,0.006832
34,1108.56,1.63691,1.61366,1.57434,0.50128,0.36416,0.35883,0.16737,1.91263,2.03255,1.83742,0.006733,0.006733,0.006733
35,1140.97,1.62807,1.61566,1.58058,0.49511,0.37311,0.37549,0.17544,1.94169,2.02119,1.88716,0.006634,0.006634,0.006634
36,1173.37,1.60671,1.56344,1.55694,0.44665,0.34898,0.33775,0.15496,1.99446,2.16854,1.91996,0.006535,0.006535,0.006535
37,1205.94,1.59235,1.56693,1.57029,0.54513,0.33905,0.3504,0.16887,1.88388,2.13486,1.84767,0.006436,0.006436,0.006436
38,1238.53,1.6163,1.5761,1.57362,0.49547,0.39846,0.39174,0.18584,1.87298,1.94838,1.7993,0.006337,0.006337,0.006337
39,1271.22,1.58098,1.55132,1.5361,0.47512,0.35455,0.34108,0.16526,1.91753,2.10253,1.86959,0.006238,0.006238,0.006238
40,1303.48,1.57541,1.55355,1.53928,0.44229,0.35674,0.32131,0.14616,1.93854,2.23327,1.85837,0.006139,0.006139,0.006139
41,1335.93,1.59161,1.53333,1.55455,0.52331,0.37828,0.39254,0.18541,1.8974,1.97795,1.83288,0.00604,0.00604,0.00604
42,1368.28,1.56402,1.5323,1.52946,0.52823,0.36658,0.38179,0.18897,1.85088,1.98662,1.80203,0.005941,0.005941,0.005941
43,1400.78,1.57909,1.54119,1.52166,0.47263,0.3432,0.3167,0.14999,1.93886,2.17913,1.84988,0.005842,0.005842,0.005842
44,1433.03,1.5458,1.51489,1.51992,0.42083,0.3663,0.34821,0.17092,1.88068,2.13669,1.80662,0.005743,0.005743,0.005743
45,1465.26,1.53718,1.49744,1.51165,0.58561,0.38939,0.41114,0.20097,1.85874,1.89262,1.7862,0.005644,0.005644,0.005644
46,1497.82,1.53269,1.49332,1.51215,0.55616,0.38243,0.39972,0.19359,1.87051,1.95657,1.82142,0.005545,0.005545,0.005545
47,1530.03,1.54523,1.49742,1.51936,0.48524,0.37927,0.35622,0.16199,1.90556,2.03331,1.85234,0.005446,0.005446,0.005446
48,1562.32,1.53327,1.46944,1.50307,0.53417,0.38198,0.39016,0.18337,1.89441,1.9477,1.8027,0.005347,0.005347,0.005347
